ticker,date,open,high,low,close,volume,signal_score,signals,rsi_14,ema_20,ema_50,atr_14,bollinger_bands_20_2,adx_14,rsi_9,macd_12_26,ema_10,adx_20,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AC.PA,2026-05-05 00:00:00+02:00,41.18000030517578,41.56999969482422,40.97999954223633,41.41999816894531,758292,0.2,volume_anomaly,31.95,42.9155,43.6612,1.1322,46.8985,33.1046,,,,,57,85,1.82,,41.42,40.1774,43.6844,market,pending
AI.PA,2026-05-05 00:00:00+02:00,178.0800018310547,179.9600067138672,177.25999450683594,179.44000244140625,680566,0.4,"trend,volume_anomaly",37.4663,182.4288,178.0438,3.4452,191.542,53.8274,,,,,67,80,1.28,,179.44,174.0568,186.3304,market,pending
AIR.PA,2026-05-05 00:00:00+02:00,176.1999969482422,180.86000061035156,174.66000366210938,177.86000061035156,1401883,0.4,"trend,volume_anomaly",70.4735,170.3681,172.5868,5.8565,178.9809,20.9847,,,,,32,65,2.2,,177.86,172.5242,189.573,market,pending
MT.AS,2026-05-05 00:00:00+02:00,47.61000061035156,49.58000183105469,47.529998779296875,49.58000183105469,2056545,0.4,"trend,volume_anomaly",47.9965,49.7604,48.7864,2.1481,54.7097,50.6307,,,,,52,80,2.89,,49.58,48.0926,53.8761,market,pending
CS.PA,2026-05-05 00:00:00+02:00,40.09000015258789,40.65999984741211,39.970001220703125,40.290000915527344,2496324,0.4,"trend,volume_anomaly",40.3841,40.7729,40.1793,0.8073,42.87,30.459,,,,,52,80,1.34,,40.29,39.0813,41.9046,market,pending
BNP.PA,2026-05-05 00:00:00+02:00,87.27999877929688,88.91999816894531,86.62000274658203,88.77999877929688,1550414,0.4,"trend,volume_anomaly",45.5944,89.3108,88.3177,2.5541,94.382,28.9803,,,,,52,80,1.92,,88.78,86.1166,93.8883,market,pending
EN.PA,2026-05-05 00:00:00+02:00,49.5,50.86000061035156,49.41999816894531,50.86000061035156,739008,0.4,"trend,volume_anomaly",61.7912,49.6996,48.5826,1.1132,51.2679,23.1786,,,,,57,65,1.46,,50.86,49.3342,53.0864,market,pending
CAP.PA,2026-05-05 00:00:00+02:00,106.0,107.5999984741211,103.75,105.44999694824219,682442,0.2,volume_anomaly,56.228,103.6976,106.4806,4.0486,111.3986,22.4612,,,,,42,50,2.56,,105.45,102.2865,113.5472,market,pending
CA.PA,2026-05-05 00:00:00+02:00,16.875,16.94499969482422,16.614999771118164,16.7549991607666,2161061,0.4,"trend,volume_anomaly",57.1006,16.5113,15.9781,0.3113,17.0498,20.4531,,,,,62,65,1.24,,16.755,16.2523,17.3776,market,pending
ACA.PA,2026-05-05 00:00:00+02:00,16.485000610351562,16.764999389648438,16.3799991607666,16.649999618530273,4822062,0.2,volume_anomaly,36.6382,16.9896,17.0701,0.4202,17.862,30.1705,,,,,57,80,1.68,,16.65,16.1505,17.4904,market,pending
BN.PA,2026-05-05 00:00:00+02:00,65.41999816894531,65.41999816894531,64.22000122070312,64.45999908447266,1253693,0.2,volume_anomaly,43.6652,65.3487,66.6293,1.1492,67.1479,21.2467,,,,,42,55,1.19,,64.46,62.5262,66.7584,market,pending
DSY.PA,2026-05-05 00:00:00+02:00,19.25,19.639999389648438,19.219999313354492,19.600000381469727,1843752,0.4,"trend,volume_anomaly",67.6867,18.735,18.8403,0.5767,20.3397,45.126,,,,,42,70,1.96,,19.6,19.012,20.7534,market,pending
EDEN.PA,2026-05-05 00:00:00+02:00,21.309999465942383,21.440000534057617,20.979999542236328,21.18000030517578,550972,0.4,"trend,volume_anomaly",64.5768,20.2676,19.3147,0.6029,22.7826,60.5762,,,,,57,75,1.9,,21.18,20.5446,22.3858,market,pending
ENGI.PA,2026-05-05 00:00:00+02:00,27.81999969482422,27.950000762939453,27.559999465942383,27.729999542236328,4755272,0.4,"trend,volume_anomaly",59.6287,27.1779,26.3861,0.5938,28.1869,16.4228,,,,,62,45,1.43,,27.73,26.8981,28.9175,market,pending
EL.PA,2026-05-05 00:00:00+02:00,171.39999389648438,173.5,168.64999389648438,171.5,741287,0.2,volume_anomaly,26.1997,186.6907,201.554,6.0345,213.278,25.8468,,,,,62,90,2.35,,171.5,166.355,183.569,market,pending
ERF.PA,2026-05-05 00:00:00+02:00,58.02000045776367,58.900001525878906,58.02000045776367,58.7400016784668,451612,0.0,,34.2841,61.9518,63.1715,1.9931,71.3534,31.3477,,,,,57,85,2.26,,58.74,56.9778,62.7262,market,pending
LR.PA,2026-05-05 00:00:00+02:00,152.75,155.75,151.60000610351562,155.6999969482422,423663,0.2,trend,71.1735,148.3455,144.131,3.9226,156.4991,38.4407,,,,,47,65,1.68,,155.7,151.029,163.5452,market,pending
MC.PA,2026-05-05 00:00:00+02:00,442.04998779296875,453.1499938964844,441.25,450.95001220703125,467424,0.0,,37.4368,463.2214,482.466,11.9495,495.2052,24.9786,,,,,57,85,1.77,,450.95,437.4215,474.849,market,pending
ML.PA,2026-05-05 00:00:00+02:00,30.899999618530273,31.329999923706055,30.780000686645508,31.190000534057617,1557184,0.4,"trend,volume_anomaly",49.0928,31.1176,30.9172,0.7035,32.8388,29.8985,,,,,62,85,1.5,,31.19,30.2543,32.5971,market,pending
ORA.PA,2026-05-05 00:00:00+02:00,18.0,18.290000915527344,17.889999389648438,17.915000915527344,4014195,0.4,"trend,volume_anomaly",58.2851,17.6534,17.3339,0.4459,18.2377,24.4095,,,,,62,85,1.66,,17.915,17.3776,18.8069,market,pending
