ticker,date,open,high,low,close,volume,signal_score,signals,atr_14,rsi_9,ema_20,ema_50,adx_20,vwap,rsi_14,macd_12_26,ema_10,entry_score,timing_score,rr_ratio,order_qty,order_entry,order_stop,order_target,order_method,order_status
AI.PA,2026-05-05 00:00:00+02:00,178.0800018310547,179.9600067138672,177.25999450683594,179.44000244140625,680566,0.3,trend,3.4452,34.9122,182.4288,178.0438,35.6241,72.9736,37.4663,,,82,80,3.19,,179.44,176.74,188.053,market,pending
MT.AS,2026-05-05 00:00:00+02:00,47.61000061035156,49.58000183105469,47.529998779296875,49.58000183105469,2056545,0.3,trend,2.1481,48.8595,49.7604,48.7864,22.7658,20.3079,47.9965,,,62,80,1.26,,49.58,45.32,54.9502,market,pending
CS.PA,2026-05-05 00:00:00+02:00,40.09000015258789,40.65999984741211,39.970001220703125,40.290000915527344,2496324,0.3,trend,0.8073,37.775,40.7729,40.1793,25.212,13.7524,40.3841,,,67,80,4.49,,40.29,39.84,42.3083,market,pending
BNP.PA,2026-05-05 00:00:00+02:00,87.27999877929688,88.91999816894531,86.62000274658203,88.77999877929688,1550414,0.3,trend,2.5541,42.8692,89.3108,88.3177,27.2004,32.329,45.5944,,,67,80,1.07,,88.78,82.8,95.1654,market,pending
EDEN.PA,2026-05-05 00:00:00+02:00,21.309999465942383,21.440000534057617,20.979999542236328,21.18000030517578,550972,0.3,trend,0.6029,56.9182,20.2676,19.3147,43.4922,25.1952,64.5768,,,72,75,0.39,,21.18,17.265,22.6873,market,pending
ML.PA,2026-05-05 00:00:00+02:00,30.899999618530273,31.329999923706055,30.780000686645508,31.190000534057617,1557184,0.3,trend,0.7035,46.2095,31.1176,30.9172,30.1259,17.0241,49.0928,,,77,85,0.89,,31.19,29.22,32.9488,market,pending
SU.PA,2026-05-05 00:00:00+02:00,262.5,273.1000061035156,261.70001220703125,272.95001220703125,908553,0.3,trend,8.7183,57.8032,265.6899,258.1267,40.2965,73.2353,57.7658,,,77,60,0.52,,272.95,231.075,294.7459,market,pending
STMPA.PA,2026-05-05 00:00:00+02:00,47.0099983215332,48.96500015258789,46.89500045776367,48.79999923706055,3146935,0.3,trend,2.1565,93.1894,39.836,34.25,55.6326,14.4264,91.2425,,,62,65,0.28,,48.8,29.855,54.1911,market,pending
TEP.PA,2026-05-05 00:00:00+02:00,60.36000061035156,63.58000183105469,60.279998779296875,63.58000183105469,550066,0.3,trend,2.5625,88.0012,55.2519,53.8809,36.2877,98.685,82.5968,,,62,65,0.44,,63.58,49.16,69.9863,market,pending
TTE.PA,2026-05-05 00:00:00+02:00,79.19999694824219,79.38999938964844,78.58000183105469,79.30000305175781,3453462,0.3,trend,1.8395,69.8489,77.2199,73.6481,27.8099,29.0971,64.0791,,,72,60,0.59,,79.3,71.55,83.8988,market,pending
VIE.PA,2026-05-05 00:00:00+02:00,35.29999923706055,35.90999984741211,35.25,35.66999816894531,2128933,0.3,trend,0.7311,56.1514,35.0066,33.9827,26.5966,14.1236,57.4876,,,77,65,0.8,,35.67,33.38,37.4978,market,pending
