I,Name,Isin,TickerYahoo,Market,Currency
1,Accor,FR0000120404,AC.PA,Paris,EUR
2,Air Liquide,FR0000120073,AI.PA,Paris,EUR
3,Airbus,NL0000235190,AIR.PA,Paris,EUR
38,ArcelorMittal,LU1598757687,MT.AS,Amsterdam,EUR
8,AXA,FR0000120628,CS.PA,Paris,EUR
10,BNP Paribas,FR0000131104,BNP.PA,Paris,EUR
11,Bouygues,FR0000120503,EN.PA,Paris,EUR
7,Capgemini,FR0000125338,CAP.PA,Paris,EUR
9,Carrefour,FR0000120172,CA.PA,Paris,EUR
39,Crédit Agricole,FR0000045072,ACA.PA,Paris,EUR
6,Danone,FR0000120644,BN.PA,Paris,EUR
37,Dassault Systèmes,FR0000130650,DSY.PA,Paris,EUR
40,Edenred,FR0010908533,EDEN.PA,Paris,EUR
34,Engie,FR0010208488,ENGI.PA,Paris,EUR
12,EssilorLuxottica,FR0000121667,EL.PA,Paris,EUR
41,Eurofins Scientific,FR0000038259,ERF.PA,Paris,EUR
20,Hermès,FR0000052292,RMS.PA,Paris,EUR
15,Kering,FR0000121485,KER.PA,Paris,EUR
42,Legrand,FR0010307819,LR.PA,Paris,EUR
5,L'Oréal,FR0000120321,OR.PA,Paris,EUR
16,LVMH,FR0000121014,MC.PA,Paris,EUR
17,Michelin,FR0000121261,ML.PA,Paris,EUR
44,Orange,FR0000133308,ORA.PA,Paris,EUR
19,Pernod Ricard,FR0000120693,RI.PA,Paris,EUR
18,Publicis Groupe,FR0000130577,PUB.PA,Paris,EUR
43,Renault,FR0000131908,RNO.PA,Paris,EUR
21,Safran,FR0000073272,SAF.PA,Paris,EUR
23,Saint-Gobain,FR0000125007,SGO.PA,Paris,EUR
22,Sanofi,FR0000120578,SAN.PA,Paris,EUR
24,Schneider Electric,FR0000121972,SU.PA,Paris,EUR
14,Société Générale,FR0000130809,GLE.PA,Paris,EUR
35,Stellantis,NL00150001Q9,STLAP.PA,Paris,EUR
44,STMicroelectronics,NL0000226223,STMPA.PA,Paris,EUR
26,Téléperformance,FR0000051807,TEP.PA,Paris,EUR
30,Thales,FR0000121329,HO.PA,Paris,EUR
45,Total,FR0000120271,TTE.PA,Paris,EUR
28,Veolia Environnement,FR0000124141,VIE.PA,Paris,EUR
29,Vinci,FR0000125486,DG.PA,Paris,EUR
31,Vivendi,FR0000127771,VIV.PA,Paris,EUR
